assignment_id,representative_id,doctor_id,effective_from,effective_to,status
A000250,FR0025,D000250,2026-01-01,,Active
A000083,FR0027,D000083,2026-01-01,,Active
A000204,FR0010,D000204,2026-01-01,,Active
A000231,FR0005,D000231,2026-01-01,,Active
A000159,FR0029,D000159,2026-01-01,,Active
A000086,FR0022,D000086,2026-01-01,,Active
A000026,FR0010,D000026,2026-01-01,,Active
A000011,FR0017,D000011,2026-01-01,,Active
A000048,FR0015,D000048,2026-01-01,,Active
A000051,FR0026,D000051,2026-01-01,,Active
A000157,FR0030,D000157,2026-01-01,,Active
A000162,FR0012,D000162,2026-01-01,,Active
A000176,FR0021,D000176,2026-01-01,,Active
A000278,FR0007,D000278,2026-01-01,,Active
A000143,FR0015,D000143,2026-01-01,,Active
A000010,FR0025,D000010,2026-01-01,,Active
A000249,FR0013,D000249,2026-01-01,,Active
A000211,FR0016,D000211,2026-01-01,,Active
A000054,FR0017,D000054,2026-01-01,,Active
A000288,FR0006,D000288,2026-01-01,,Active
A000055,FR0005,D000055,2026-01-01,,Active
A000284,FR0030,D000284,2026-01-01,,Active
A000281,FR0029,D000281,2026-01-01,,Active
A000255,FR0003,D000255,2026-01-01,,Active
A000172,FR0003,D000172,2026-01-01,,Active
A000170,FR0022,D000170,2026-01-01,,Active
A000065,FR0006,D000065,2026-01-01,,Active
A000261,FR0004,D000261,2026-01-01,,Active
A000057,FR0006,D000057,2026-01-01,,Active
A000268,FR0007,D000268,2026-01-01,,Active
A000087,FR0028,D000087,2026-01-01,,Active
A000146,FR0024,D000146,2026-01-01,,Active
A000062,FR0005,D000062,2026-01-01,,Active
A000221,FR0012,D000221,2026-01-01,,Active
A000177,FR0019,D000177,2026-01-01,,Active
A000163,FR0002,D000163,2026-01-01,,Active
A000190,FR0016,D000190,2026-01-01,,Active
A000058,FR0003,D000058,2026-01-01,,Active
A000214,FR0030,D000214,2026-01-01,,Active
A000167,FR0016,D000167,2026-01-01,,Active
A000097,FR0012,D000097,2026-01-01,,Active
A000108,FR0005,D000108,2026-01-01,,Active
A000105,FR0015,D000105,2026-01-01,,Active
A000018,FR0025,D000018,2026-01-01,,Active
A000089,FR0012,D000089,2026-01-01,,Active
A000149,FR0001,D000149,2026-01-01,,Active
A000102,FR0011,D000102,2026-01-01,,Active
A000297,FR0018,D000297,2026-01-01,,Active
A000222,FR0022,D000222,2026-01-01,,Active
A000034,FR0002,D000034,2026-01-01,,Active
A000131,FR0027,D000131,2026-01-01,,Active
A000184,FR0015,D000184,2026-01-01,,Active
A000257,FR0026,D000257,2026-01-01,,Active
A000039,FR0003,D000039,2026-01-01,,Active
A000130,FR0023,D000130,2026-01-01,,Active
A000029,FR0005,D000029,2026-01-01,,Active
A000181,FR0005,D000181,2026-01-01,,Active
A000021,FR0029,D000021,2026-01-01,,Active
A000242,FR0024,D000242,2026-01-01,,Active
A000056,FR0001,D000056,2026-01-01,,Active
A000138,FR0012,D000138,2026-01-01,,Active
A000141,FR0030,D000141,2026-01-01,,Active
A000156,FR0008,D000156,2026-01-01,,Active
A000123,FR0015,D000123,2026-01-01,,Active
A000114,FR0017,D000114,2026-01-01,,Active
A000160,FR0029,D000160,2026-01-01,,Active
A000158,FR0015,D000158,2026-01-01,,Active
A000277,FR0001,D000277,2026-01-01,,Active
A000155,FR0011,D000155,2026-01-01,,Active
A000121,FR0016,D000121,2026-01-01,,Active
A000128,FR0025,D000128,2026-01-01,,Active
A000095,FR0019,D000095,2026-01-01,,Active
A000168,FR0007,D000168,2026-01-01,,Active
A000090,FR0016,D000090,2026-01-01,,Active
A000173,FR0022,D000173,2026-01-01,,Active
