payout_id,representative_id,product_id,program_id,payout_month,sales_target,actual_sales,sales_achievement,base_incentive,achievement_multiplier,calculated_payout,maximum_payout,expected_payout,actual_payout,payout_difference,status
PAYOUT_0000512,FR0014,P021,PG001,2026-02-01,156849.6,143204.62,91.3,7160.23,1.0,7160.23,10740.35,7160.23,7160.23,0.0,Pending
PAYOUT_0000768,FR0021,P030,PG001,2026-06-01,165996.92,118368.66,71.31,5918.43,0.75,4438.82,8877.65,4438.82,4438.82,0.0,Paid
PAYOUT_0000294,FR0009,P026,PG001,2026-01-01,162140.09,92096.96,56.8,4604.85,0.75,3453.64,6907.27,3453.64,3453.64,0.0,Paid
PAYOUT_0000216,FR0007,P019,PG001,2026-07-01,175071.48,90180.96,51.51,4509.05,0.75,3381.79,6763.57,3381.79,3381.79,0.0,Paid
PAYOUT_0000344,FR0010,P021,PG001,2026-02-01,83318.84,98342.95,118.03,4917.15,1.25,6146.43,7375.72,6146.43,6146.43,0.0,Paid
PAYOUT_0000350,FR0010,P002,PG001,2026-01-01,159212.0,148251.94,93.12,7412.6,1.0,7412.6,11118.9,7412.6,7412.6,0.0,Paid
PAYOUT_0000455,FR0012,P027,PG001,2026-01-01,116118.96,85443.3,73.58,4272.16,0.75,3204.12,6408.25,3204.12,3204.12,0.0,Paid
PAYOUT_0000732,FR0020,P003,PG001,2026-05-01,173731.11,76262.01,43.9,3813.1,0.5,1906.55,5719.65,1906.55,1906.55,0.0,Pending
PAYOUT_0000903,FR0024,P029,PG001,2026-01-01,60064.6,41461.05,69.03,2073.05,0.75,1554.79,3109.58,1554.79,1554.79,0.0,Paid
PAYOUT_0000926,FR0025,P027,PG001,2026-03-01,177528.25,136794.0,77.05,6839.7,1.0,6839.7,10259.55,6839.7,6839.7,0.0,Pending
PAYOUT_0000891,FR0024,P003,PG001,2026-03-01,85134.23,70084.23,82.32,3504.21,1.0,3504.21,5256.32,3504.21,3504.21,0.0,Paid
PAYOUT_0000828,FR0022,P018,PG001,2026-03-01,74372.25,62577.58,84.14,3128.88,1.0,3128.88,4693.32,3128.88,3128.88,0.0,Pending
PAYOUT_0000540,FR0014,P010,PG001,2026-02-01,126894.91,96959.52,76.41,4847.98,1.0,4847.98,7271.96,4847.98,4847.98,0.0,Adjusted
PAYOUT_0000102,FR0003,P015,PG001,2026-04-01,95276.41,151977.54,159.51,7598.88,1.5,11398.32,11398.32,11398.32,11398.32,0.0,Paid
PAYOUT_0000718,FR0019,P025,PG001,2026-05-01,128391.38,137296.35,106.94,6864.82,1.25,8581.02,10297.23,8581.02,8581.02,0.0,Adjusted
PAYOUT_0000356,FR0010,P002,PG001,2026-07-01,130235.84,179988.06,138.2,8999.4,1.5,13499.1,13499.1,13499.1,13499.1,0.0,Paid
PAYOUT_0000075,FR0002,P021,PG001,2026-05-01,142284.04,85609.6,60.17,4280.48,0.75,3210.36,6420.72,3210.36,3210.36,0.0,Paid
PAYOUT_0000547,FR0014,P005,PG001,2026-02-01,138586.83,155526.46,112.22,7776.32,1.25,9720.4,11664.48,9720.4,9720.4,0.0,Paid
PAYOUT_0000225,FR0007,P018,PG001,2026-02-01,125367.07,162501.48,129.62,8125.07,1.5,12187.61,12187.61,12187.61,12187.61,0.0,Paid
PAYOUT_0001026,FR0028,P023,PG001,2026-05-01,67352.35,87153.85,129.4,4357.69,1.5,6536.54,6536.54,6536.54,6536.54,0.0,Pending
PAYOUT_0000620,FR0016,P006,PG001,2026-05-01,118829.63,108506.0,91.31,5425.3,1.0,5425.3,8137.95,5425.3,5425.3,0.0,Pending
PAYOUT_0000143,FR0004,P011,PG001,2026-03-01,73220.61,90588.27,123.72,4529.41,1.25,5661.77,6794.12,5661.77,5661.77,0.0,Paid
PAYOUT_0000677,FR0018,P009,PG001,2026-06-01,156603.82,98424.42,62.85,4921.22,0.75,3690.92,7381.83,3690.92,3690.92,0.0,Paid
PAYOUT_0000107,FR0003,P010,PG001,2026-02-01,132121.17,72916.38,55.19,3645.82,0.75,2734.36,5468.73,2734.36,2734.36,0.0,Paid
PAYOUT_0000925,FR0025,P027,PG001,2026-02-01,175612.56,147802.86,84.16,7390.14,1.0,7390.14,11085.21,7390.14,7390.14,0.0,Paid
PAYOUT_0000408,FR0011,P027,PG001,2026-03-01,118046.87,81247.6,68.83,4062.38,0.75,3046.79,6093.57,3046.79,3046.79,0.0,Adjusted
PAYOUT_0000564,FR0015,P010,PG001,2026-05-01,134968.08,52576.26,38.95,2628.81,0.5,1314.41,3943.22,1314.41,1314.41,0.0,Paid
PAYOUT_0000335,FR0010,P023,PG001,2026-07-01,104994.78,63087.48,60.09,3154.37,0.75,2365.78,4731.56,2365.78,2365.78,0.0,Paid
PAYOUT_0000767,FR0021,P030,PG001,2026-05-01,89187.34,114506.48,128.39,5725.32,1.5,8587.99,8587.99,8587.99,8587.99,0.0,Paid
PAYOUT_0000697,FR0019,P011,PG001,2026-05-01,134949.05,122756.88,90.97,6137.84,1.0,6137.84,9206.77,6137.84,6137.84,0.0,Adjusted
PAYOUT_0000407,FR0011,P027,PG001,2026-02-01,124109.53,68549.82,55.23,3427.49,0.75,2570.62,5141.24,2570.62,2570.62,0.0,Adjusted
PAYOUT_0000460,FR0012,P027,PG001,2026-06-01,84477.8,90503.88,107.13,4525.19,1.25,5656.49,6787.79,5656.49,5656.49,0.0,Pending
