transaction number,sales date,physician id,product id,territory id,qty,sales value,sale status
S0001236,2026-02-04,D000289,P010,T049,16,25150.07,Valid
S0001472,2026-04-05,D000246,P009,T032,10,13647.79,Valid
S0000868,2026-07-27,D000007,P026,T022,148,20521.75,Valid
S0000183,2026-03-27,D000234,P024,T043,20,29082.09,Valid
S0002328,2026-05-10,D000006,P019,T039,21,33544.54,Valid
S0001418,2026-05-13,D000299,P005,T032,12,8129.4,Valid
S0000694,2026-05-22,D000181,P004,T006,87,29385.19,Valid
S0004160,2026-06-14,D000023,P022,T029,33,9421.06,Valid
S0004154,2026-05-12,D000160,P022,T029,24,6684.78,Valid
S0002536,2026-05-12,D000104,P017,T039,46,65130.1,Valid
S0002441,2026-02-13,D000296,P010,T039,10,15061.55,Valid
S0003707,2026-06-03,D000187,P018,T013,46,71282.17,Valid
S0000276,2026-04-09,D000009,P030,T043,77,66410.24,Valid
S0000436,2026-01-04,D000058,P010,T049,12,18814.24,Valid
S0002745,2026-02-27,D000286,P012,T026,23,31314.06,Valid
S0004327,2026-04-06,D000133,P026,T048,144,20007.28,Valid
S0004057,2026-06-07,D000135,P024,T046,7,10535.66,Valid
S0003811,2026-03-12,D000185,P008,T013,14,26324.89,Valid
S0002060,2026-02-08,D000235,P018,T006,19,29031.63,Cancelled
S0000077,2026-05-06,D000238,P012,T023,20,26836.94,Returned
S0000330,2026-04-03,D000058,P002,T049,9,17106.95,Valid
S0002815,2026-05-21,D000118,P015,T026,43,32113.58,Valid
S0000364,2026-06-09,D000039,P021,T049,66,41774.3,Valid
S0000325,2026-03-25,D000172,P002,T049,26,48955.02,Valid
S0000904,2026-01-11,D000040,P023,T022,3,6805.77,Valid
S0003793,2026-05-02,D000200,P022,T013,102,28911.6,Valid
S0000210,2026-02-05,D000198,P019,T043,17,27234.67,Cancelled
S0001675,2026-01-05,D000162,P026,T016,188,26035.21,Valid
S0002962,2026-04-18,D000100,P030,T021,63,54533.04,Valid
S0002164,2026-02-15,D000098,P019,T020,10,16012.52,Valid
S0003471,2026-06-20,D000202,P027,T006,10,12467.68,Valid
S0001605,2026-06-23,D000161,P027,T027,26,33060.42,Valid
S0003840,2026-05-09,D000140,P030,T002,85,73627.24,Valid
S0003921,2026-06-04,D000140,P016,T002,14,25809.83,Valid
S0002253,2026-04-15,D000292,P008,T039,22,39778.34,Valid
