sale id,sales date,physician id,product id,territory code,units,sales amount,sale status
S0001236,2026-06-09,D000238,P017,T042,12,21294.19,Valid
S0002505,2026-01-05,D000271,P003,T018,17,36022.89,Valid
S0002223,2026-05-15,D000281,P013,T007,25,34804.86,Valid
S0004267,2026-05-13,D000269,P024,T042,7,14713.97,Valid
S0003220,2026-07-27,D000095,P021,T024,228,46675.25,Valid
S0003745,2026-05-24,D000249,P015,T018,24,21255.17,Valid
S0001091,2026-03-16,D000070,P029,T005,14,17953.91,Valid
S0003639,2026-05-09,D000099,P012,T043,14,20229.44,Valid
S0000901,2026-02-22,D000038,P020,T046,11,22407.19,Valid
S0001527,2026-07-25,D000048,P020,T015,19,38229.98,Valid
S0003041,2026-03-17,D000279,P019,T011,33,22040.25,Valid
S0000990,2026-04-22,D000020,P028,T046,4,9297.39,Valid
S0003070,2026-03-06,D000131,P003,T011,4,7338.93,Valid
S0001390,2026-07-03,D000218,P003,T043,6,11899.03,Valid
S0000325,2026-01-03,D000096,P013,T040,5,6698.17,Valid
S0003200,2026-03-27,D000283,P021,T024,85,17356.75,Valid
S0004362,2026-04-14,D000211,P010,T042,13,18596.92,Valid
S0002240,2026-03-02,D000055,P011,T025,11,9964.94,Valid
S0000663,2026-01-06,D000148,P024,T013,11,23067.56,Valid
S0000502,2026-04-22,D000240,P020,T024,23,45842.26,Valid
S0002284,2026-07-04,D000251,P020,T025,14,27546.67,Cancelled
S0002954,2026-01-12,D000112,P016,T011,91,50401.36,Valid
S0003773,2026-06-08,D000113,P006,T018,20,30647.73,Valid
S0001268,2026-07-06,D000203,P026,T003,9,15558.59,Valid
S0001081,2026-01-20,D000176,P029,T005,13,16917.25,Valid
S0000276,2026-02-11,D000188,P011,T040,27,24740.67,Valid
S0003321,2026-05-20,D000058,P020,T023,8,16646.63,Valid
S0000093,2026-07-15,D000272,P015,T019,59,51740.78,Valid
S0000024,2026-02-04,D000086,P011,T019,30,28017.78,Valid
S0001975,2026-07-21,D000003,P018,T006,14,20348.7,Valid
S0001845,2026-03-10,D000126,P002,T006,15,19551.94,Valid
S0004016,2026-06-13,D000187,P014,T044,23,27865.08,Valid
S0002117,2026-07-21,D000192,P009,T015,35,16189.12,Valid
S0001205,2026-07-04,D000165,P020,T003,13,25360.71,Valid
S0000006,2026-03-20,D000045,P019,T019,75,49625.2,Valid
S0000665,2026-02-04,D000108,P024,T013,11,22907.45,Valid
S0001207,2026-07-04,D000139,P020,T003,13,25360.71,Valid
S0000266,2026-06-23,D000117,P026,T040,26,43219.21,Valid
S0001165,2026-05-11,D000291,P030,T005,92,17411.16,Valid
S0003206,2026-04-16,D000095,P021,T024,85,17499.32,Valid
S0003596,2026-02-09,D000057,P025,T025,24,24303.88,Valid
S0000210,2026-05-09,D000225,P017,T041,9,15155.46,Valid
S0000672,2026-03-03,D000108,P024,T004,21,43331.2,Valid
S0000919,2026-07-22,D000236,P020,T046,13,25982.93,Valid
S0003483,2026-02-13,D000290,P027,T043,14,28496.38,Valid
S0003245,2026-05-22,D000071,P001,T023,16,38449.98,Valid
S0002473,2026-06-27,D000170,P002,T018,22,28824.05,Valid
S0001168,2026-06-07,D000237,P030,T005,89,16751.94,Valid
S0001814,2026-01-21,D000246,P021,T006,31,6398.02,Valid
S0003570,2026-02-18,D000116,P024,T043,5,10118.28,Valid
S0003106,2026-06-07,D000231,P015,T011,48,41947.15,Valid
S0004352,2026-02-21,D000269,P010,T042,14,19679.08,Valid
S0000350,2026-03-03,D000275,P001,T040,8,19630.16,Adjusted
S0003840,2026-01-13,D000098,P026,T045,15,25819.16,Valid
S0000969,2026-06-05,D000038,P007,T046,6,15050.37,Valid
S0003078,2026-05-26,D000231,P003,T011,4,8359.58,Valid
S0002552,2026-04-27,D000120,P012,T018,15,21671.88,Valid
S0003573,2026-03-25,D000057,P024,T043,10,19908.09,Valid
S0003701,2026-02-21,D000249,P023,T018,14,24720.17,Valid
S0002192,2026-06-02,D000219,P014,T007,19,22854.54,Valid
