assignment_id,representative_id,doctor_id,effective_from,effective_to,status
A000001,FR0014,D000001,2026-01-01,,Inactive
A000002,FR0028,D000002,2026-01-01,,Active
A000003,FR0022,D000003,2026-01-01,,Active
A000004,FR0002,D000004,2026-01-01,,Inactive
A000005,FR0024,D000005,2026-01-01,,Inactive
A000006,FR0026,D000006,2026-01-01,,Active
A000007,FR0008,D000007,2026-01-01,,Active
A000008,FR0007,D000008,2026-01-01,,Inactive
A000009,FR0005,D000009,2026-01-01,,Inactive
A000010,FR0006,D000010,2026-01-01,,Inactive
