incentive program id,incentive program,period type,effective from,end date,minimum sales achievement,max payout multiplier,program status
PROGRAM_P001,P001 Monthly Incentive Program,Quarterly,2026-01-01,,70,2.5,Inactive
PROGRAM_P002,P002 Quarterly Sales Program,Quarterly,2026-01-01,,50,2.5,Active
PROGRAM_P003,P003 Monthly Incentive Program,Monthly,2026-01-01,,80,2.0,Inactive
PROGRAM_P004,P004 Monthly Incentive Program,Monthly,2026-01-01,,70,2.5,Active
PROGRAM_P005,P005 Achievement Bonus Program,Monthly,2026-01-01,,50,1.5,Inactive
PROGRAM_P006,P006 Quarterly Sales Program,Quarterly,2026-01-01,,50,1.5,Active
PROGRAM_P007,P007 Achievement Bonus Program,Monthly,2026-01-01,,80,2.5,Inactive
PROGRAM_P008,P008 Monthly Incentive Program,Monthly,2026-01-01,,70,2.5,Active
PROGRAM_P009,P009 Monthly Incentive Program,Monthly,2026-01-01,,70,1.5,Inactive
PROGRAM_P010,P010 Product Growth Scheme,Quarterly,2026-01-01,,80,1.5,Active
PROGRAM_P011,P011 Achievement Bonus Program,Quarterly,2026-01-01,,80,1.5,Inactive
PROGRAM_P012,P012 Monthly Incentive Program,Quarterly,2026-01-01,,80,2.0,Inactive
PROGRAM_P013,P013 Achievement Bonus Program,Monthly,2026-01-01,,80,1.5,Inactive
PROGRAM_P014,P014 Product Growth Scheme,Quarterly,2026-01-01,,70,2.5,Active
PROGRAM_P015,P015 Monthly Incentive Program,Monthly,2026-01-01,,70,2.0,Inactive
PROGRAM_P016,P016 Product Growth Scheme,Quarterly,2026-01-01,,50,2.5,Inactive
PROGRAM_P017,P017 Quarterly Sales Program,Monthly,2026-01-01,,80,2.0,Active
PROGRAM_P018,P018 Product Growth Scheme,Monthly,2026-01-01,,80,2.5,Inactive
PROGRAM_P019,P019 Quarterly Sales Program,Quarterly,2026-01-01,,80,1.5,Inactive
PROGRAM_P020,P020 Product Growth Scheme,Quarterly,2026-01-01,,80,2.0,Active
PROGRAM_P021,P021 Monthly Incentive Program,Monthly,2026-01-01,,50,1.5,Active
PROGRAM_P022,P022 Monthly Incentive Program,Monthly,2026-01-01,,50,2.0,Active
PROGRAM_P023,P023 Monthly Incentive Program,Monthly,2026-01-01,,80,2.5,Inactive
PROGRAM_P024,P024 Achievement Bonus Program,Quarterly,2026-01-01,,50,2.0,Active
PROGRAM_P025,P025 Monthly Incentive Program,Monthly,2026-01-01,,50,2.5,Inactive
PROGRAM_P026,P026 Monthly Incentive Program,Quarterly,2026-01-01,,80,1.5,Inactive
PROGRAM_P027,P027 Achievement Bonus Program,Quarterly,2026-01-01,,80,1.5,Inactive
PROGRAM_P028,P028 Monthly Incentive Program,Monthly,2026-01-01,,70,1.5,Active
PROGRAM_P029,P029 Monthly Incentive Program,Monthly,2026-01-01,,80,1.5,Inactive
PROGRAM_P030,P030 Quarterly Sales Program,Monthly,2026-01-01,,80,2.5,Active
