incentive_rule_id,product_id,rule_name,effective_from,effective_to,threshold_amount,payout_percentage,active
1,P001,P001 Standard Incentive,2026-01-01,,0,6.0,True
2,P002,P002 Standard Incentive,2026-01-01,,50000,6.0,True
3,P003,P003 Standard Incentive,2026-01-01,,100000,6.0,True
4,P004,P004 Standard Incentive,2026-01-01,,0,3.0,True
5,P005,P005 Standard Incentive,2026-01-01,,100000,4.0,True
6,P006,P006 Standard Incentive,2026-01-01,,0,6.0,True
7,P007,P007 Standard Incentive,2026-01-01,,50000,5.0,True
8,P008,P008 Standard Incentive,2026-01-01,,100000,3.0,True
9,P009,P009 Standard Incentive,2026-01-01,,100000,3.0,True
10,P010,P010 Standard Incentive,2026-01-01,,0,4.0,True
11,P011,P011 Standard Incentive,2026-01-01,,100000,7.5,True
12,P012,P012 Standard Incentive,2026-01-01,,50000,5.0,True
13,P013,P013 Standard Incentive,2026-01-01,,0,3.0,True
14,P014,P014 Standard Incentive,2026-01-01,,100000,5.0,True
15,P015,P015 Standard Incentive,2026-01-01,,100000,7.5,True
16,P016,P016 Standard Incentive,2026-01-01,,100000,3.0,True
17,P017,P017 Standard Incentive,2026-01-01,,0,5.0,True
18,P018,P018 Standard Incentive,2026-01-01,,0,4.0,True
19,P019,P019 Standard Incentive,2026-01-01,,100000,4.0,True
20,P020,P020 Standard Incentive,2026-01-01,,100000,6.0,True
21,P021,P021 Standard Incentive,2026-01-01,,0,5.0,True
22,P022,P022 Standard Incentive,2026-01-01,,0,7.5,True
23,P023,P023 Standard Incentive,2026-01-01,,0,7.5,True
24,P024,P024 Standard Incentive,2026-01-01,,50000,7.5,True
25,P025,P025 Standard Incentive,2026-01-01,,50000,6.0,True
26,P026,P026 Standard Incentive,2026-01-01,,100000,4.0,True
27,P027,P027 Standard Incentive,2026-01-01,,100000,3.0,True
28,P028,P028 Standard Incentive,2026-01-01,,100000,5.0,True
29,P029,P029 Standard Incentive,2026-01-01,,0,3.0,True
30,P030,P030 Standard Incentive,2026-01-01,,50000,4.0,True
