tier code,program id,min achievement,maximum achievement,incentive multiplier
TIER_000001,PROGRAM_P001,0,50,0.5
TIER_000002,PROGRAM_P001,50,75,1.0
TIER_000003,PROGRAM_P001,75,100,1.25
TIER_000004,PROGRAM_P001,100,,1.5
TIER_000005,PROGRAM_P002,0,50,0.5
TIER_000006,PROGRAM_P002,50,75,1.0
TIER_000007,PROGRAM_P002,75,100,1.25
TIER_000008,PROGRAM_P002,100,,1.5
TIER_000009,PROGRAM_P003,0,50,0.5
TIER_000010,PROGRAM_P003,50,75,1.0
TIER_000011,PROGRAM_P003,75,100,1.25
TIER_000012,PROGRAM_P003,100,,1.5
TIER_000013,PROGRAM_P004,0,50,0.5
TIER_000014,PROGRAM_P004,50,75,1.0
TIER_000015,PROGRAM_P004,75,100,1.25
TIER_000016,PROGRAM_P004,100,,1.5
TIER_000017,PROGRAM_P005,0,50,0.5
TIER_000018,PROGRAM_P005,50,75,1.0
TIER_000019,PROGRAM_P005,75,100,1.25
TIER_000020,PROGRAM_P005,100,,1.5
TIER_000021,PROGRAM_P006,0,50,0.5
TIER_000022,PROGRAM_P006,50,75,1.0
TIER_000023,PROGRAM_P006,75,100,1.25
TIER_000024,PROGRAM_P006,100,,1.5
TIER_000025,PROGRAM_P007,0,50,0.5
TIER_000026,PROGRAM_P007,50,75,1.0
TIER_000027,PROGRAM_P007,75,100,1.25
TIER_000028,PROGRAM_P007,100,,1.5
TIER_000029,PROGRAM_P008,0,50,0.5
TIER_000030,PROGRAM_P008,50,75,1.0
TIER_000031,PROGRAM_P008,75,100,1.25
TIER_000032,PROGRAM_P008,100,,1.5
TIER_000033,PROGRAM_P009,0,50,0.5
TIER_000034,PROGRAM_P009,50,75,1.0
TIER_000035,PROGRAM_P009,75,100,1.25
TIER_000036,PROGRAM_P009,100,,1.5
TIER_000037,PROGRAM_P010,0,50,0.5
TIER_000038,PROGRAM_P010,50,75,1.0
TIER_000039,PROGRAM_P010,75,100,1.25
TIER_000040,PROGRAM_P010,100,,1.5
TIER_000041,PROGRAM_P011,0,50,0.5
TIER_000042,PROGRAM_P011,50,75,1.0
TIER_000043,PROGRAM_P011,75,100,1.25
TIER_000044,PROGRAM_P011,100,,1.5
TIER_000045,PROGRAM_P012,0,50,0.5
TIER_000046,PROGRAM_P012,50,75,1.0
TIER_000047,PROGRAM_P012,75,100,1.25
TIER_000048,PROGRAM_P012,100,,1.5
TIER_000049,PROGRAM_P013,0,50,0.5
TIER_000050,PROGRAM_P013,50,75,1.0
TIER_000051,PROGRAM_P013,75,100,1.25
TIER_000052,PROGRAM_P013,100,,1.5
TIER_000053,PROGRAM_P014,0,50,0.5
TIER_000054,PROGRAM_P014,50,75,1.0
TIER_000055,PROGRAM_P014,75,100,1.25
TIER_000056,PROGRAM_P014,100,,1.5
TIER_000057,PROGRAM_P015,0,50,0.5
TIER_000058,PROGRAM_P015,50,75,1.0
TIER_000059,PROGRAM_P015,75,100,1.25
TIER_000060,PROGRAM_P015,100,,1.5
TIER_000061,PROGRAM_P016,0,50,0.5
TIER_000062,PROGRAM_P016,50,75,1.0
TIER_000063,PROGRAM_P016,75,100,1.25
TIER_000064,PROGRAM_P016,100,,1.5
TIER_000065,PROGRAM_P017,0,50,0.5
TIER_000066,PROGRAM_P017,50,75,1.0
TIER_000067,PROGRAM_P017,75,100,1.25
TIER_000068,PROGRAM_P017,100,,1.5
TIER_000069,PROGRAM_P018,0,50,0.5
TIER_000070,PROGRAM_P018,50,75,1.0
TIER_000071,PROGRAM_P018,75,100,1.25
TIER_000072,PROGRAM_P018,100,,1.5
TIER_000073,PROGRAM_P019,0,50,0.5
TIER_000074,PROGRAM_P019,50,75,1.0
TIER_000075,PROGRAM_P019,75,100,1.25
TIER_000076,PROGRAM_P019,100,,1.5
TIER_000077,PROGRAM_P020,0,50,0.5
TIER_000078,PROGRAM_P020,50,75,1.0
TIER_000079,PROGRAM_P020,75,100,1.25
TIER_000080,PROGRAM_P020,100,,1.5
TIER_000081,PROGRAM_P021,0,50,0.5
TIER_000082,PROGRAM_P021,50,75,1.0
TIER_000083,PROGRAM_P021,75,100,1.25
TIER_000084,PROGRAM_P021,100,,1.5
TIER_000085,PROGRAM_P022,0,50,0.5
TIER_000086,PROGRAM_P022,50,75,1.0
TIER_000087,PROGRAM_P022,75,100,1.25
TIER_000088,PROGRAM_P022,100,,1.5
TIER_000089,PROGRAM_P023,0,50,0.5
TIER_000090,PROGRAM_P023,50,75,1.0
TIER_000091,PROGRAM_P023,75,100,1.25
TIER_000092,PROGRAM_P023,100,,1.5
TIER_000093,PROGRAM_P024,0,50,0.5
TIER_000094,PROGRAM_P024,50,75,1.0
TIER_000095,PROGRAM_P024,75,100,1.25
TIER_000096,PROGRAM_P024,100,,1.5
TIER_000097,PROGRAM_P025,0,50,0.5
TIER_000098,PROGRAM_P025,50,75,1.0
TIER_000099,PROGRAM_P025,75,100,1.25
TIER_000100,PROGRAM_P025,100,,1.5
TIER_000101,PROGRAM_P026,0,50,0.5
TIER_000102,PROGRAM_P026,50,75,1.0
TIER_000103,PROGRAM_P026,75,100,1.25
TIER_000104,PROGRAM_P026,100,,1.5
TIER_000105,PROGRAM_P027,0,50,0.5
TIER_000106,PROGRAM_P027,50,75,1.0
TIER_000107,PROGRAM_P027,75,100,1.25
TIER_000108,PROGRAM_P027,100,,1.5
TIER_000109,PROGRAM_P028,0,50,0.5
TIER_000110,PROGRAM_P028,50,75,1.0
TIER_000111,PROGRAM_P028,75,100,1.25
TIER_000112,PROGRAM_P028,100,,1.5
TIER_000113,PROGRAM_P029,0,50,0.5
TIER_000114,PROGRAM_P029,50,75,1.0
TIER_000115,PROGRAM_P029,75,100,1.25
TIER_000116,PROGRAM_P029,100,,1.5
TIER_000117,PROGRAM_P030,0,50,0.5
TIER_000118,PROGRAM_P030,50,75,1.0
TIER_000119,PROGRAM_P030,75,100,1.25
TIER_000120,PROGRAM_P030,100,,1.5
