payout_id,representative_id,product_id,payout_month,expected_payout,actual_payout,payout_difference,status
1,FR0001,P015,2026-01-01,28.65,28.65,0.0,Processed
2,FR0001,P015,2026-02-01,231.74,231.74,0.0,Processed
3,FR0001,P015,2026-03-01,0.0,0.0,0.0,Processed
4,FR0001,P015,2026-04-01,92.18,92.18,0.0,Processed
5,FR0001,P015,2026-05-01,0.0,0.0,0.0,Processed
6,FR0001,P015,2026-06-01,110.13,110.13,0.0,Processed
7,FR0001,P015,2026-07-01,159.86,159.86,0.0,Processed
8,FR0001,P011,2026-01-01,3193.34,3193.34,0.0,Processed
9,FR0001,P011,2026-02-01,3423.17,3423.17,0.0,Processed
10,FR0001,P011,2026-03-01,3520.39,3520.39,0.0,Processed
11,FR0001,P011,2026-04-01,3251.97,3251.97,0.0,Processed
12,FR0001,P011,2026-05-01,3226.01,3226.01,0.0,Processed
13,FR0001,P011,2026-06-01,3320.81,3320.81,0.0,Processed
14,FR0001,P011,2026-07-01,3250.83,3250.83,0.0,Processed
15,FR0001,P014,2026-01-01,10308.83,10308.83,0.0,Processed
16,FR0001,P014,2026-02-01,10235.36,10235.36,0.0,Processed
17,FR0001,P014,2026-03-01,9208.21,9208.21,0.0,Processed
18,FR0001,P014,2026-04-01,9539.58,9539.58,0.0,Processed
19,FR0001,P014,2026-05-01,10244.48,10244.48,0.0,Processed
20,FR0001,P014,2026-06-01,9915.84,9915.84,0.0,Processed
21,FR0001,P014,2026-07-01,13558.8,21198.88,7640.08,Processed
22,FR0001,P004,2026-01-01,0.0,0.0,0.0,Processed
23,FR0001,P004,2026-02-01,0.0,0.0,0.0,Processed
24,FR0001,P004,2026-03-01,0.0,0.0,0.0,Processed
25,FR0001,P004,2026-04-01,0.0,0.0,0.0,Processed
26,FR0001,P004,2026-05-01,0.0,0.0,0.0,Processed
27,FR0001,P004,2026-06-01,0.0,0.0,0.0,Processed
28,FR0001,P004,2026-07-01,0.0,0.0,0.0,Processed
29,FR0002,P009,2026-01-01,7518.79,7518.79,0.0,Processed
30,FR0002,P009,2026-02-01,7877.39,7877.39,0.0,Processed
31,FR0002,P009,2026-03-01,6961.84,6961.84,0.0,Processed
32,FR0002,P009,2026-04-01,7356.34,7356.34,0.0,Processed
33,FR0002,P009,2026-05-01,7777.88,7777.88,0.0,Processed
34,FR0002,P009,2026-06-01,6729.46,6729.46,0.0,Processed
35,FR0002,P009,2026-07-01,7631.52,7631.52,0.0,Processed
36,FR0002,P013,2026-01-01,0.0,0.0,0.0,Processed
37,FR0002,P013,2026-02-01,0.0,0.0,0.0,Processed
38,FR0002,P013,2026-03-01,0.0,0.0,0.0,Processed
39,FR0002,P013,2026-04-01,0.0,0.0,0.0,Processed
40,FR0002,P013,2026-05-01,0.0,0.0,0.0,Processed
41,FR0002,P013,2026-06-01,0.0,0.0,0.0,Processed
42,FR0002,P013,2026-07-01,0.0,0.0,0.0,Processed
43,FR0002,P021,2026-01-01,3232.93,3232.93,0.0,Processed
44,FR0002,P021,2026-02-01,2994.41,2994.41,0.0,Processed
45,FR0002,P021,2026-03-01,3050.13,3050.13,0.0,Processed
46,FR0002,P021,2026-04-01,3279.08,3279.08,0.0,Processed
47,FR0002,P021,2026-05-01,3156.13,3156.13,0.0,Processed
48,FR0002,P021,2026-06-01,3247.69,3247.69,0.0,Processed
49,FR0002,P021,2026-07-01,3458.36,3458.36,0.0,Processed
50,FR0002,P016,2026-01-01,4516.09,4516.09,0.0,Processed
