target_id,representative_id,product_id,target_month,target_amount
1,FR0001,P016,2026-01-01,61053.96
2,FR0001,P029,2026-01-01,111748.96
3,FR0001,P015,2026-01-01,177979.93
4,FR0001,P021,2026-01-01,117478.08
5,FR0001,P016,2026-02-01,92094.54
6,FR0001,P029,2026-02-01,248202.55
7,FR0001,P015,2026-02-01,64247.23
8,FR0001,P021,2026-02-01,89167.94
9,FR0001,P016,2026-03-01,205244.63
10,FR0001,P029,2026-03-01,102437.94
11,FR0001,P015,2026-03-01,80270.49
12,FR0001,P021,2026-03-01,84417.69
13,FR0001,P016,2026-04-01,120288.36
14,FR0001,P029,2026-04-01,85081.95
15,FR0001,P015,2026-04-01,177662.89
16,FR0001,P021,2026-04-01,164939.94
17,FR0001,P016,2026-05-01,160844.33
18,FR0001,P029,2026-05-01,126379.47
19,FR0001,P015,2026-05-01,188130.48
20,FR0001,P021,2026-05-01,101666.56
21,FR0001,P016,2026-06-01,123345.71
22,FR0001,P029,2026-06-01,118385.96
23,FR0001,P015,2026-06-01,179147.12
24,FR0001,P021,2026-06-01,175295.73
25,FR0001,P016,2026-07-01,115303.14
26,FR0001,P029,2026-07-01,217634.81
27,FR0001,P015,2026-07-01,149613.5
28,FR0001,P021,2026-07-01,107743.54
29,FR0002,P018,2026-01-01,81202.59
30,FR0002,P012,2026-01-01,180016.62
31,FR0002,P014,2026-01-01,111606.82
32,FR0002,P011,2026-01-01,81139.71
33,FR0002,P018,2026-02-01,225833.64
34,FR0002,P012,2026-02-01,103932.27
35,FR0002,P014,2026-02-01,137553.21
36,FR0002,P011,2026-02-01,80890.79
37,FR0002,P018,2026-03-01,198882.17
38,FR0002,P012,2026-03-01,206421.62
39,FR0002,P014,2026-03-01,54734.2
40,FR0002,P011,2026-03-01,75436.84
41,FR0002,P018,2026-04-01,105040.17
42,FR0002,P012,2026-04-01,50705.63
43,FR0002,P014,2026-04-01,108514.09
44,FR0002,P011,2026-04-01,164167.23
45,FR0002,P018,2026-05-01,58392.6
46,FR0002,P012,2026-05-01,82386.47
47,FR0002,P014,2026-05-01,118091.05
48,FR0002,P011,2026-05-01,192814.13
49,FR0002,P018,2026-06-01,240792.95
50,FR0002,P012,2026-06-01,225225.38
51,FR0002,P014,2026-06-01,71370.77
52,FR0002,P011,2026-06-01,105718.74
53,FR0002,P018,2026-07-01,142265.67
54,FR0002,P012,2026-07-01,59419.84
55,FR0002,P014,2026-07-01,132239.45
56,FR0002,P011,2026-07-01,240119.28
57,FR0003,P015,2026-01-01,60989.13
58,FR0003,P006,2026-01-01,97724.64
59,FR0003,P012,2026-01-01,82159.01
60,FR0003,P002,2026-01-01,73443.04
61,FR0003,P015,2026-02-01,164589.79
62,FR0003,P006,2026-02-01,127944.66
63,FR0003,P012,2026-02-01,217891.82
64,FR0003,P002,2026-02-01,174426.02
65,FR0003,P015,2026-03-01,207843.91
66,FR0003,P006,2026-03-01,61841.79
67,FR0003,P012,2026-03-01,196493.74
68,FR0003,P002,2026-03-01,134495.0
69,FR0003,P015,2026-04-01,119474.88
70,FR0003,P006,2026-04-01,129392.2
71,FR0003,P012,2026-04-01,163665.31
72,FR0003,P002,2026-04-01,232080.1
73,FR0003,P015,2026-05-01,72702.88
74,FR0003,P006,2026-05-01,194162.65
75,FR0003,P012,2026-05-01,246186.91
76,FR0003,P002,2026-05-01,233054.64
77,FR0003,P015,2026-06-01,153967.31
78,FR0003,P006,2026-06-01,104506.09
79,FR0003,P012,2026-06-01,120247.51
80,FR0003,P002,2026-06-01,93484.16
81,FR0003,P015,2026-07-01,100009.0
82,FR0003,P006,2026-07-01,231393.55
83,FR0003,P012,2026-07-01,64438.02
84,FR0003,P002,2026-07-01,231094.82
85,FR0004,P001,2026-01-01,185481.75
86,FR0004,P026,2026-01-01,56637.47
87,FR0004,P002,2026-01-01,163945.43
88,FR0004,P029,2026-01-01,148334.97
89,FR0004,P001,2026-02-01,199347.69
90,FR0004,P026,2026-02-01,109495.18
91,FR0004,P002,2026-02-01,239528.7
92,FR0004,P029,2026-02-01,132384.48
93,FR0004,P001,2026-03-01,98990.62
94,FR0004,P026,2026-03-01,87300.22
95,FR0004,P002,2026-03-01,217301.42
96,FR0004,P029,2026-03-01,73963.84
97,FR0004,P001,2026-04-01,242648.45
98,FR0004,P026,2026-04-01,143249.6
99,FR0004,P002,2026-04-01,74921.79
100,FR0004,P029,2026-04-01,125261.55
101,FR0004,P001,2026-05-01,168048.14
102,FR0004,P026,2026-05-01,85766.56
103,FR0004,P002,2026-05-01,165315.89
104,FR0004,P029,2026-05-01,55492.53
105,FR0004,P001,2026-06-01,154602.16
106,FR0004,P026,2026-06-01,120729.11
107,FR0004,P002,2026-06-01,66123.01
108,FR0004,P029,2026-06-01,104122.24
109,FR0004,P001,2026-07-01,209315.43
110,FR0004,P026,2026-07-01,104096.59
111,FR0004,P002,2026-07-01,85627.42
112,FR0004,P029,2026-07-01,56561.24
113,FR0005,P027,2026-01-01,93397.68
114,FR0005,P002,2026-01-01,208005.56
115,FR0005,P029,2026-01-01,59050.04
116,FR0005,P010,2026-01-01,141086.06
117,FR0005,P027,2026-02-01,83674.47
118,FR0005,P002,2026-02-01,78681.56
119,FR0005,P029,2026-02-01,143356.54
120,FR0005,P010,2026-02-01,173579.78
121,FR0005,P027,2026-03-01,239862.73
122,FR0005,P002,2026-03-01,224074.98
123,FR0005,P029,2026-03-01,232506.99
124,FR0005,P010,2026-03-01,163282.25
125,FR0005,P027,2026-04-01,196774.47
126,FR0005,P002,2026-04-01,147327.65
127,FR0005,P029,2026-04-01,108611.45
128,FR0005,P010,2026-04-01,158147.43
129,FR0005,P027,2026-05-01,129501.18
130,FR0005,P002,2026-05-01,66408.29
131,FR0005,P029,2026-05-01,204750.58
132,FR0005,P010,2026-05-01,246895.78
133,FR0005,P027,2026-06-01,188190.62
134,FR0005,P002,2026-06-01,144234.25
135,FR0005,P029,2026-06-01,223291.68
136,FR0005,P010,2026-06-01,140043.62
137,FR0005,P027,2026-07-01,92684.94
138,FR0005,P002,2026-07-01,150532.53
139,FR0005,P029,2026-07-01,225059.83
140,FR0005,P010,2026-07-01,61470.76
141,FR0006,P004,2026-01-01,56617.2
142,FR0006,P003,2026-01-01,120014.23
143,FR0006,P026,2026-01-01,187407.94
144,FR0006,P007,2026-01-01,166106.97
145,FR0006,P004,2026-02-01,238995.97
146,FR0006,P003,2026-02-01,155926.14
147,FR0006,P026,2026-02-01,122821.97
148,FR0006,P007,2026-02-01,243010.46
149,FR0006,P004,2026-03-01,79589.18
150,FR0006,P003,2026-03-01,143091.45
151,FR0006,P026,2026-03-01,117085.1
152,FR0006,P007,2026-03-01,103951.87
153,FR0006,P004,2026-04-01,209131.51
154,FR0006,P003,2026-04-01,210377.68
155,FR0006,P026,2026-04-01,129506.59
156,FR0006,P007,2026-04-01,98430.84
157,FR0006,P004,2026-05-01,87423.13
158,FR0006,P003,2026-05-01,105731.41
159,FR0006,P026,2026-05-01,186252.82
160,FR0006,P007,2026-05-01,129824.44
161,FR0006,P004,2026-06-01,100069.29
162,FR0006,P003,2026-06-01,56928.68
163,FR0006,P026,2026-06-01,218847.61
164,FR0006,P007,2026-06-01,235253.47
165,FR0006,P004,2026-07-01,192581.66
166,FR0006,P003,2026-07-01,133624.15
167,FR0006,P026,2026-07-01,129203.33
168,FR0006,P007,2026-07-01,198714.79
169,FR0007,P011,2026-01-01,143416.61
170,FR0007,P021,2026-01-01,99526.35
171,FR0007,P010,2026-01-01,181737.76
172,FR0007,P005,2026-01-01,164161.06
173,FR0007,P011,2026-02-01,61138.34
174,FR0007,P021,2026-02-01,74153.39
175,FR0007,P010,2026-02-01,226770.1
176,FR0007,P005,2026-02-01,184067.7
177,FR0007,P011,2026-03-01,65479.86
178,FR0007,P021,2026-03-01,127105.58
179,FR0007,P010,2026-03-01,215852.46
180,FR0007,P005,2026-03-01,201575.03
181,FR0007,P011,2026-04-01,112374.0
182,FR0007,P021,2026-04-01,183878.5
183,FR0007,P010,2026-04-01,64572.09
184,FR0007,P005,2026-04-01,79763.19
185,FR0007,P011,2026-05-01,172143.48
186,FR0007,P021,2026-05-01,135453.37
187,FR0007,P010,2026-05-01,201568.62
188,FR0007,P005,2026-05-01,179838.89
189,FR0007,P011,2026-06-01,123348.64
190,FR0007,P021,2026-06-01,108750.81
191,FR0007,P010,2026-06-01,167400.14
192,FR0007,P005,2026-06-01,58899.77
193,FR0007,P011,2026-07-01,209240.71
194,FR0007,P021,2026-07-01,89681.81
195,FR0007,P010,2026-07-01,142983.71
196,FR0007,P005,2026-07-01,56624.12
197,FR0008,P020,2026-01-01,234926.21
198,FR0008,P022,2026-01-01,56576.46
199,FR0008,P014,2026-01-01,52122.08
200,FR0008,P015,2026-01-01,114277.35
201,FR0008,P020,2026-02-01,205703.18
202,FR0008,P022,2026-02-01,216402.4
203,FR0008,P014,2026-02-01,97532.72
204,FR0008,P015,2026-02-01,140220.72
205,FR0008,P020,2026-03-01,87368.84
206,FR0008,P022,2026-03-01,200601.84
207,FR0008,P014,2026-03-01,129398.17
208,FR0008,P015,2026-03-01,103704.41
209,FR0008,P020,2026-04-01,115099.53
210,FR0008,P022,2026-04-01,248156.5
211,FR0008,P014,2026-04-01,129444.66
212,FR0008,P015,2026-04-01,108821.23
213,FR0008,P020,2026-05-01,202006.31
214,FR0008,P022,2026-05-01,228016.18
215,FR0008,P014,2026-05-01,224464.9
216,FR0008,P015,2026-05-01,67005.53
217,FR0008,P020,2026-06-01,168632.62
218,FR0008,P022,2026-06-01,232282.55
219,FR0008,P014,2026-06-01,114045.18
220,FR0008,P015,2026-06-01,128583.74
221,FR0008,P020,2026-07-01,97063.89
222,FR0008,P022,2026-07-01,222294.39
223,FR0008,P014,2026-07-01,184657.55
224,FR0008,P015,2026-07-01,147043.68
225,FR0009,P003,2026-01-01,148277.03
226,FR0009,P025,2026-01-01,117357.06
227,FR0009,P004,2026-01-01,85941.13
228,FR0009,P027,2026-01-01,170556.23
229,FR0009,P003,2026-02-01,84273.05
230,FR0009,P025,2026-02-01,140821.04
231,FR0009,P004,2026-02-01,209303.2
232,FR0009,P027,2026-02-01,166343.99
233,FR0009,P003,2026-03-01,131084.25
234,FR0009,P025,2026-03-01,108233.89
235,FR0009,P004,2026-03-01,77923.38
236,FR0009,P027,2026-03-01,79166.73
237,FR0009,P003,2026-04-01,226067.6
238,FR0009,P025,2026-04-01,171385.56
239,FR0009,P004,2026-04-01,234810.57
240,FR0009,P027,2026-04-01,99352.48
241,FR0009,P003,2026-05-01,101449.42
242,FR0009,P025,2026-05-01,160391.8
243,FR0009,P004,2026-05-01,116069.81
244,FR0009,P027,2026-05-01,222214.17
245,FR0009,P003,2026-06-01,243329.27
246,FR0009,P025,2026-06-01,128052.44
247,FR0009,P004,2026-06-01,147991.87
248,FR0009,P027,2026-06-01,124873.35
249,FR0009,P003,2026-07-01,146912.6
250,FR0009,P025,2026-07-01,81975.4
251,FR0009,P004,2026-07-01,101670.75
252,FR0009,P027,2026-07-01,232748.94
253,FR0010,P012,2026-01-01,213651.56
254,FR0010,P027,2026-01-01,245372.08
255,FR0010,P017,2026-01-01,225318.13
256,FR0010,P029,2026-01-01,137199.5
257,FR0010,P012,2026-02-01,52812.16
258,FR0010,P027,2026-02-01,167061.36
259,FR0010,P017,2026-02-01,93257.66
260,FR0010,P029,2026-02-01,249416.11
261,FR0010,P012,2026-03-01,106526.82
262,FR0010,P027,2026-03-01,152755.25
263,FR0010,P017,2026-03-01,196615.81
264,FR0010,P029,2026-03-01,210528.54
265,FR0010,P012,2026-04-01,144380.87
266,FR0010,P027,2026-04-01,93628.21
267,FR0010,P017,2026-04-01,220056.36
268,FR0010,P029,2026-04-01,72477.04
269,FR0010,P012,2026-05-01,216640.74
270,FR0010,P027,2026-05-01,165260.6
271,FR0010,P017,2026-05-01,220379.9
272,FR0010,P029,2026-05-01,132929.61
273,FR0010,P012,2026-06-01,131162.48
274,FR0010,P027,2026-06-01,178889.89
275,FR0010,P017,2026-06-01,54719.15
276,FR0010,P029,2026-06-01,238912.05
277,FR0010,P012,2026-07-01,146265.91
278,FR0010,P027,2026-07-01,123844.03
279,FR0010,P017,2026-07-01,117180.3
280,FR0010,P029,2026-07-01,60170.26
281,FR0011,P002,2026-01-01,146907.6
282,FR0011,P006,2026-01-01,122919.14
283,FR0011,P026,2026-01-01,173182.61
284,FR0011,P005,2026-01-01,188384.72
285,FR0011,P002,2026-02-01,181802.72
286,FR0011,P006,2026-02-01,53151.3
287,FR0011,P026,2026-02-01,144067.86
288,FR0011,P005,2026-02-01,51145.42
289,FR0011,P002,2026-03-01,81077.68
290,FR0011,P006,2026-03-01,57130.73
291,FR0011,P026,2026-03-01,228956.64
292,FR0011,P005,2026-03-01,140520.78
293,FR0011,P002,2026-04-01,67399.12
294,FR0011,P006,2026-04-01,78402.54
295,FR0011,P026,2026-04-01,72292.23
296,FR0011,P005,2026-04-01,210895.23
297,FR0011,P002,2026-05-01,107736.8
298,FR0011,P006,2026-05-01,214803.59
299,FR0011,P026,2026-05-01,149764.25
300,FR0011,P005,2026-05-01,163748.05
301,FR0011,P002,2026-06-01,165756.89
302,FR0011,P006,2026-06-01,176171.9
