representative_id,doctor_id,effective_from,effective_to
FR0008,D000001,2026-01-01,
FR0087,D000002,2026-01-01,
FR0008,D000003,2026-01-01,
FR0095,D000004,2026-01-01,
FR0040,D000005,2026-01-01,
FR0015,D000006,2026-01-01,
FR0092,D000007,2026-01-01,
FR0079,D000008,2026-01-01,
FR0035,D000009,2026-01-01,
FR0034,D000010,2026-01-01,
FR0062,D000011,2026-01-01,
FR0010,D000012,2026-01-01,
FR0016,D000013,2026-01-01,
FR0003,D000014,2026-01-01,
FR0099,D000015,2026-01-01,
FR0077,D000016,2026-01-01,
FR0016,D000017,2026-01-01,
FR0028,D000018,2026-01-01,
FR0019,D000019,2026-01-01,
FR0001,D000020,2026-01-01,
FR0002,D000021,2026-01-01,
FR0097,D000022,2026-01-01,
FR0009,D000023,2026-01-01,
FR0058,D000024,2026-01-01,
FR0052,D000025,2026-01-01,
FR0082,D000026,2026-01-01,
FR0024,D000027,2026-01-01,
FR0029,D000028,2026-01-01,
FR0009,D000029,2026-01-01,
FR0093,D000030,2026-01-01,
FR0050,D000031,2026-01-01,
FR0037,D000032,2026-01-01,
FR0068,D000033,2026-01-01,
FR0028,D000034,2026-01-01,
FR0005,D000035,2026-01-01,
FR0010,D000036,2026-01-01,
FR0097,D000037,2026-01-01,
FR0039,D000038,2026-01-01,
FR0037,D000039,2026-01-01,
FR0073,D000040,2026-01-01,
FR0064,D000041,2026-01-01,
FR0092,D000042,2026-01-01,
FR0037,D000043,2026-01-01,
FR0054,D000044,2026-01-01,
FR0032,D000045,2026-01-01,
FR0056,D000046,2026-01-01,
FR0042,D000047,2026-01-01,
FR0072,D000048,2026-01-01,
FR0053,D000049,2026-01-01,
FR0003,D000050,2026-01-01,
FR0084,D000051,2026-01-01,
FR0073,D000052,2026-01-01,
FR0023,D000053,2026-01-01,
FR0091,D000054,2026-01-01,
FR0077,D000055,2026-01-01,
FR0040,D000056,2026-01-01,
FR0005,D000057,2026-01-01,
FR0036,D000058,2026-01-01,
FR0092,D000059,2026-01-01,
FR0097,D000060,2026-01-01,
FR0036,D000061,2026-01-01,
FR0049,D000062,2026-01-01,
FR0057,D000063,2026-01-01,
FR0055,D000064,2026-01-01,
FR0032,D000065,2026-01-01,
FR0030,D000066,2026-01-01,
FR0042,D000067,2026-01-01,
FR0023,D000068,2026-01-01,
FR0096,D000069,2026-01-01,
FR0079,D000070,2026-01-01,
FR0032,D000071,2026-01-01,
FR0015,D000072,2026-01-01,
FR0051,D000073,2026-01-01,
FR0023,D000074,2026-01-01,
FR0094,D000075,2026-01-01,
FR0079,D000076,2026-01-01,
FR0008,D000077,2026-01-01,
FR0097,D000078,2026-01-01,
FR0057,D000079,2026-01-01,
FR0055,D000080,2026-01-01,
FR0061,D000081,2026-01-01,
FR0096,D000082,2026-01-01,
FR0078,D000083,2026-01-01,
FR0046,D000084,2026-01-01,
FR0010,D000085,2026-01-01,
FR0064,D000086,2026-01-01,
FR0021,D000087,2026-01-01,
FR0033,D000088,2026-01-01,
FR0038,D000089,2026-01-01,
FR0046,D000090,2026-01-01,
FR0053,D000091,2026-01-01,
FR0038,D000092,2026-01-01,
FR0098,D000093,2026-01-01,
FR0008,D000094,2026-01-01,
FR0011,D000095,2026-01-01,
FR0062,D000096,2026-01-01,
FR0057,D000097,2026-01-01,
FR0076,D000098,2026-01-01,
FR0075,D000099,2026-01-01,
FR0001,D000100,2026-01-01,
FR0021,D000101,2026-01-01,
FR0056,D000102,2026-01-01,
FR0008,D000103,2026-01-01,
FR0028,D000104,2026-01-01,
FR0060,D000105,2026-01-01,
FR0051,D000106,2026-01-01,
FR0092,D000107,2026-01-01,
FR0026,D000108,2026-01-01,
FR0008,D000109,2026-01-01,
FR0012,D000110,2026-01-01,
FR0085,D000111,2026-01-01,
FR0037,D000112,2026-01-01,
FR0032,D000113,2026-01-01,
FR0046,D000114,2026-01-01,
FR0010,D000115,2026-01-01,
FR0068,D000116,2026-01-01,
FR0060,D000117,2026-01-01,
FR0086,D000118,2026-01-01,
FR0092,D000119,2026-01-01,
FR0046,D000120,2026-01-01,
FR0052,D000121,2026-01-01,
FR0053,D000122,2026-01-01,
FR0027,D000123,2026-01-01,
FR0092,D000124,2026-01-01,
FR0086,D000125,2026-01-01,
FR0068,D000126,2026-01-01,
FR0055,D000127,2026-01-01,
FR0050,D000128,2026-01-01,
FR0018,D000129,2026-01-01,
FR0100,D000130,2026-01-01,
FR0088,D000131,2026-01-01,
FR0039,D000132,2026-01-01,
FR0014,D000133,2026-01-01,
FR0072,D000134,2026-01-01,
FR0045,D000135,2026-01-01,
FR0058,D000136,2026-01-01,
FR0092,D000137,2026-01-01,
FR0098,D000138,2026-01-01,
FR0031,D000139,2026-01-01,
FR0070,D000140,2026-01-01,
