product_id,product_name,product_category,unit_price,active
P001,EsseCare 1,Diabetes,1023.44,True
P002,AspernaturCare 2,Antibiotic,1369.87,True
P003,RepellendusCare 3,Cardiology,1732.68,True
P004,QuisCare 4,Diabetes,1736.1,True
P005,AssumendaCare 5,Gastroenterology,1944.64,True
P006,IpsamCare 6,Dermatology,367.73,True
P007,AspernaturCare 7,Pain,479.58,True
P008,ArchitectoCare 8,Cardiology,2389.16,True
P009,ReprehenderitCare 9,Gastroenterology,2432.53,True
P010,PerferendisCare 10,Neurology,1318.44,True
P011,ProvidentCare 11,Diabetes,2189.24,True
P012,QuiaCare 12,Gastroenterology,2120.01,True
P013,DoloreCare 13,Respiratory,466.81,True
P014,AspernaturCare 14,Neurology,1394.51,True
P015,QuaeratCare 15,Cardiology,1537.47,True
P016,BeataeCare 16,Antibiotic,146.74,True
P017,EaCare 17,Dermatology,2208.93,True
P018,AtqueCare 18,Gastroenterology,674.69,True
P019,SaepeCare 19,Respiratory,2207.22,True
P020,AtqueCare 20,Diabetes,305.57,True
P021,VeniamCare 21,Antibiotic,2058.46,True
P022,ExCare 22,Neurology,408.14,True
P023,NecessitatibusCare 23,Antibiotic,2372.44,True
P024,CumqueCare 24,Neurology,736.14,True
P025,ReiciendisCare 25,Pain,2414.47,True
P026,ExpeditaCare 26,Respiratory,1811.08,True
P027,RepellendusCare 27,Pain,2488.36,True
P028,SaepeCare 28,Dermatology,1151.44,True
P029,AnimiCare 29,Antibiotic,390.41,True
P030,SitCare 30,Respiratory,253.66,True
