payout_id,representative_id,product_id,program_id,payout_month,sales_target,actual_sales,sales_achievement,base_incentive,achievement_multiplier,calculated_payout,maximum_payout,expected_payout,actual_payout,payout_difference,status
PAYOUT_0000894,FR0025,P030,PG001,2026-05-01,133784.47,143204.52,107.04,7160.23,1.25,8950.28,10740.34,8950.28,8950.28,0.0,Pending
PAYOUT_0000381,FR0010,P005,PG001,2026-03-01,155025.64,64235.44,41.44,3211.77,0.5,1605.89,4817.66,1605.89,1605.89,0.0,Pending
PAYOUT_0000143,FR0004,P014,PG001,2026-03-01,151046.1,89464.68,59.23,4473.23,0.75,3354.93,6709.85,3354.93,3354.93,0.0,Paid
PAYOUT_0000858,FR0024,P012,PG001,2026-04-01,143289.57,96403.2,67.28,4820.16,0.75,3615.12,7230.24,3615.12,3615.12,0.0,Paid
PAYOUT_0000504,FR0014,P017,PG001,2026-07-01,142503.91,66598.26,46.73,3329.91,0.5,1664.96,4994.87,1664.96,1664.96,0.0,Pending
PAYOUT_0000735,FR0020,P011,PG001,2026-07-01,131842.92,48454.02,36.75,2422.7,0.5,1211.35,3634.05,1211.35,1211.35,0.0,Paid
PAYOUT_0000485,FR0014,P021,PG001,2026-02-01,146509.99,42098.15,28.73,2104.91,0.5,1052.45,3157.36,1052.45,1052.45,0.0,Pending
PAYOUT_0000551,FR0015,P022,PG001,2026-05-01,136653.4,70281.99,51.43,3514.1,0.75,2635.57,5271.15,2635.57,6170.19,3534.61,Paid
PAYOUT_0000744,FR0021,P020,PG001,2026-02-01,167032.4,147140.05,88.09,7357.0,1.0,7357.0,11035.5,7357.0,7357.0,0.0,Adjusted
PAYOUT_0000895,FR0025,P030,PG001,2026-06-01,108542.46,151028.6,139.14,7551.43,1.5,11327.15,11327.15,11327.15,11327.15,0.0,Paid
PAYOUT_0000385,FR0010,P005,PG001,2026-07-01,156535.73,68077.58,43.49,3403.88,0.5,1701.94,5105.82,1701.94,1701.94,0.0,Adjusted
PAYOUT_0000435,FR0013,P030,PG001,2026-01-01,76019.03,141116.07,185.63,7055.8,1.5,10583.71,10583.71,10583.71,10583.71,0.0,Paid
PAYOUT_0000991,FR0027,P007,PG001,2026-04-01,132601.61,93798.78,70.74,4689.94,0.75,3517.45,7034.91,3517.45,3517.45,0.0,Paid
PAYOUT_0000941,FR0026,P025,PG001,2026-03-01,112838.21,121777.56,107.92,6088.88,1.25,7611.1,9133.32,7611.1,7084.71,-526.39,Paid
PAYOUT_0000108,FR0003,P001,PG001,2026-03-01,128381.69,58890.48,45.87,2944.52,0.5,1472.26,4416.79,1472.26,1472.26,0.0,Paid
PAYOUT_0000498,FR0014,P017,PG001,2026-01-01,161148.23,61977.18,38.46,3098.86,0.5,1549.43,4648.29,1549.43,1549.43,0.0,Pending
PAYOUT_0000955,FR0027,P002,PG001,2026-03-01,75137.18,105042.16,139.8,5252.11,1.5,7878.16,7878.16,7878.16,7878.16,0.0,Paid
