payout_id,representative_id,product_id,program_id,payout_month,sales_target,actual_sales,sales_achievement,base_incentive,achievement_multiplier,calculated_payout,maximum_payout,expected_payout,actual_payout,payout_difference,status
PAYOUT_000001,FR0002,P008,PROGRAM_P008,2026-01-01,214005.53,46742.16,21.84,2337.11,0.5,1168.55,5842.77,1168.55,1168.55,0.0,Pending
PAYOUT_000002,FR0002,P008,PROGRAM_P008,2026-02-01,211684.7,56848.27,26.86,2842.41,0.5,1421.21,7106.03,1421.21,1421.21,0.0,Adjusted
PAYOUT_000003,FR0002,P008,PROGRAM_P008,2026-03-01,183036.92,54890.79,29.99,2744.54,0.5,1372.27,6861.35,1372.27,1372.27,0.0,Pending
PAYOUT_000004,FR0002,P008,PROGRAM_P008,2026-04-01,253256.68,52746.92,20.83,2637.35,0.5,1318.67,6593.36,1318.67,1318.67,0.0,Adjusted
PAYOUT_000005,FR0002,P008,PROGRAM_P008,2026-05-01,171592.67,57512.41,33.52,2875.62,0.5,1437.81,7189.05,1437.81,1437.81,0.0,Paid
PAYOUT_000006,FR0002,P008,PROGRAM_P008,2026-06-01,240510.08,57294.02,23.82,2864.7,0.5,1432.35,7161.75,1432.35,1432.35,0.0,Paid
PAYOUT_000007,FR0002,P008,PROGRAM_P008,2026-07-01,276564.8,52525.91,18.99,2626.3,0.5,1313.15,6565.74,1313.15,1313.15,0.0,Pending
PAYOUT_000008,FR0002,P028,PROGRAM_P028,2026-01-01,258492.32,128491.48,49.71,6424.57,0.5,3212.29,9636.86,3212.29,3212.29,0.0,Adjusted
PAYOUT_000009,FR0002,P028,PROGRAM_P028,2026-02-01,180311.43,117802.66,65.33,5890.13,1.0,5890.13,8835.2,5890.13,5890.13,0.0,Paid
PAYOUT_000010,FR0002,P028,PROGRAM_P028,2026-03-01,231506.38,124771.96,53.9,6238.6,1.0,6238.6,9357.9,6238.6,6238.6,0.0,Adjusted
PAYOUT_000011,FR0002,P028,PROGRAM_P028,2026-04-01,299686.71,112105.64,37.41,5605.28,0.5,2802.64,8407.92,2802.64,2802.64,0.0,Paid
PAYOUT_000012,FR0002,P028,PROGRAM_P028,2026-05-01,286703.99,113944.51,39.74,5697.23,0.5,2848.61,8545.84,2848.61,2848.61,0.0,Paid
PAYOUT_000013,FR0002,P028,PROGRAM_P028,2026-06-01,210016.27,115883.6,55.18,5794.18,1.0,5794.18,8691.27,5794.18,5794.18,0.0,Paid
PAYOUT_000014,FR0002,P028,PROGRAM_P028,2026-07-01,268970.8,108799.11,40.45,5439.96,0.5,2719.98,8159.93,2719.98,2719.98,0.0,Paid
PAYOUT_000015,FR0002,P003,PROGRAM_P003,2026-01-01,252836.87,63419.89,25.08,3170.99,0.5,1585.5,6341.99,1585.5,1585.5,0.0,Paid
PAYOUT_000016,FR0002,P003,PROGRAM_P003,2026-02-01,265231.0,59110.07,22.29,2955.5,0.5,1477.75,5911.01,1477.75,1477.75,0.0,Paid
PAYOUT_000017,FR0002,P003,PROGRAM_P003,2026-03-01,221682.67,52309.16,23.6,2615.46,0.5,1307.73,5230.92,1307.73,1307.73,0.0,Adjusted
PAYOUT_000018,FR0002,P003,PROGRAM_P003,2026-04-01,209125.25,53367.99,25.52,2668.4,0.5,1334.2,5336.8,1334.2,1334.2,0.0,Paid
PAYOUT_000019,FR0002,P003,PROGRAM_P003,2026-05-01,253141.64,63068.36,24.91,3153.42,0.5,1576.71,6306.84,1576.71,1576.71,0.0,Adjusted
PAYOUT_000020,FR0002,P003,PROGRAM_P003,2026-06-01,150817.83,58468.51,38.77,2923.43,0.5,1461.71,5846.85,1461.71,1461.71,0.0,Paid
