drug id,product name,product category,unit_price,product status
P001,RemCare 1,Gastroenterology,1944.64,ACTIVE
P002,RepellatCare 2,Dermatology,367.73,ACTIVE
P003,PariaturCare 3,Pain,479.58,ACTIVE
P004,ExercitationemCare 4,Cardiology,2389.16,ACTIVE
P005,PariaturCare 5,Gastroenterology,2432.53,ACTIVE
P006,NemoCare 6,Neurology,1318.44,ACTIVE
P007,EaqueCare 7,Diabetes,2189.24,ACTIVE
P008,ConsequaturCare 8,Gastroenterology,2120.01,ACTIVE
P009,ConsequaturCare 9,Respiratory,466.81,ACTIVE
P010,UndeCare 10,Neurology,1394.51,ACTIVE
P011,NonCare 11,Cardiology,1537.47,ACTIVE
P012,LiberoCare 12,Antibiotic,146.74,ACTIVE
P013,NisiCare 13,Dermatology,2208.93,ACTIVE
P014,NequeCare 14,Gastroenterology,674.69,ACTIVE
P015,OmnisCare 15,Respiratory,2207.22,ACTIVE
P016,AsperioresCare 16,Diabetes,305.57,ACTIVE
P017,VeniamCare 17,Antibiotic,2058.46,ACTIVE
P018,UllamCare 18,Neurology,408.14,ACTIVE
P019,TeneturCare 19,Antibiotic,2372.44,ACTIVE
P020,ConsequunturCare 20,Neurology,736.14,ACTIVE
P021,AssumendaCare 21,Pain,2414.47,ACTIVE
P022,NecessitatibusCare 22,Respiratory,1811.08,ACTIVE
P023,LaboreCare 23,Pain,2488.36,ACTIVE
P024,CorruptiCare 24,Dermatology,1151.44,ACTIVE
P025,ExpeditaCare 25,Antibiotic,390.41,ACTIVE
P026,EarumCare 26,Respiratory,253.66,ACTIVE
P027,EaqueCare 27,Cardiology,1511.94,ACTIVE
P028,QuidemCare 28,Respiratory,1512.26,ACTIVE
P029,OccaecatiCare 29,Cardiology,270.38,ACTIVE
P030,DeseruntCare 30,Cardiology,649.46,ACTIVE
