sales number,representative_id,physician code,drug code,transaction date,sale amount,units,sales territory,status
1,FR0002,D000004,P008,2026-01-14,46742.16,22,T026,Adjusted
2,FR0002,D000004,P008,2026-02-09,56848.27,27,T026,Adjusted
3,FR0002,D000004,P008,2026-03-07,54890.79,26,T026,Returned
4,FR0002,D000004,P008,2026-04-19,52746.92,25,T026,Adjusted
5,FR0002,D000004,P008,2026-05-20,57512.41,27,T026,Valid
6,FR0002,D000004,P008,2026-06-20,57294.02,27,T026,Valid
7,FR0002,D000004,P008,2026-07-08,52525.91,25,T026,Returned
8,FR0002,D000004,P028,2026-01-03,128491.48,85,T026,Cancelled
9,FR0002,D000004,P028,2026-02-10,117802.66,78,T026,Cancelled
10,FR0002,D000004,P028,2026-03-22,124771.96,83,T026,Returned
11,FR0002,D000004,P028,2026-04-09,112105.64,74,T026,Returned
12,FR0002,D000004,P028,2026-05-09,113944.51,75,T026,Valid
13,FR0002,D000004,P028,2026-06-06,115883.6,77,T026,Adjusted
14,FR0002,D000004,P028,2026-07-27,108799.11,72,T026,Returned
15,FR0002,D000004,P003,2026-01-07,63419.89,132,T026,Cancelled
16,FR0002,D000004,P003,2026-02-08,59110.07,123,T026,Cancelled
17,FR0002,D000004,P003,2026-03-26,52309.16,109,T026,Cancelled
18,FR0002,D000004,P003,2026-04-07,53367.99,111,T026,Adjusted
19,FR0002,D000004,P003,2026-05-11,63068.36,132,T026,Returned
20,FR0002,D000004,P003,2026-06-01,58468.51,122,T026,Valid
21,FR0002,D000004,P003,2026-07-12,64494.74,134,T026,Returned
22,FR0002,D000004,P015,2026-01-17,148909.14,67,T026,Cancelled
23,FR0002,D000004,P015,2026-02-23,315206.64,143,T026,Returned
24,FR0002,D000004,P015,2026-03-13,165426.26,75,T026,Valid
25,FR0002,D000004,P015,2026-04-15,169629.17,77,T026,Adjusted
26,FR0002,D000004,P015,2026-05-10,169906.63,77,T026,Returned
27,FR0002,D000004,P015,2026-06-08,150111.33,68,T026,Adjusted
28,FR0002,D000004,P015,2026-07-13,173120.7,78,T026,Cancelled
