target_id,representative_id,product_id,target_month,target_amount,status
TARGET_000001,FR0001,P006,2026-01-01,153444.57,Inactive
TARGET_000002,FR0001,P016,2026-01-01,83392.59,Active
TARGET_000003,FR0001,P012,2026-01-01,199955.28,Inactive
TARGET_000004,FR0001,P017,2026-01-01,196587.17,Active
TARGET_000005,FR0001,P006,2026-02-01,204286.06,Active
TARGET_000006,FR0001,P016,2026-02-01,117002.21,Inactive
TARGET_000007,FR0001,P012,2026-02-01,104396.12,Active
TARGET_000008,FR0001,P017,2026-02-01,102589.93,Active
TARGET_000009,FR0001,P006,2026-03-01,149229.51,Inactive
TARGET_000010,FR0001,P016,2026-03-01,61087.82,Active
TARGET_000011,FR0001,P012,2026-03-01,123537.56,Inactive
TARGET_000012,FR0001,P017,2026-03-01,204665.79,Active
TARGET_000013,FR0001,P006,2026-04-01,95680.88,Active
TARGET_000014,FR0001,P016,2026-04-01,58807.58,Active
TARGET_000015,FR0001,P012,2026-04-01,98910.29,Inactive
TARGET_000016,FR0001,P017,2026-04-01,122795.3,Active
TARGET_000017,FR0001,P006,2026-05-01,85792.19,Active
TARGET_000018,FR0001,P016,2026-05-01,160572.96,Inactive
TARGET_000019,FR0001,P012,2026-05-01,94903.06,Active
TARGET_000020,FR0001,P017,2026-05-01,133251.32,Inactive
TARGET_000021,FR0001,P006,2026-06-01,104251.59,Active
TARGET_000022,FR0001,P016,2026-06-01,164307.19,Active
TARGET_000023,FR0001,P012,2026-06-01,150408.19,Active
TARGET_000024,FR0001,P017,2026-06-01,85868.87,Active
TARGET_000025,FR0001,P006,2026-07-01,240815.88,Active
TARGET_000026,FR0001,P016,2026-07-01,225398.25,Inactive
TARGET_000027,FR0001,P012,2026-07-01,204705.5,Inactive
TARGET_000028,FR0001,P017,2026-07-01,115460.18,Inactive
TARGET_000029,FR0002,P001,2026-01-01,162761.35,Inactive
TARGET_000030,FR0002,P012,2026-01-01,197915.2,Active
TARGET_000031,FR0002,P007,2026-01-01,142785.34,Inactive
TARGET_000032,FR0002,P010,2026-01-01,249557.42,Active
TARGET_000033,FR0002,P001,2026-02-01,196492.67,Active
TARGET_000034,FR0002,P012,2026-02-01,80113.28,Inactive
TARGET_000035,FR0002,P007,2026-02-01,54782.05,Inactive
TARGET_000036,FR0002,P010,2026-02-01,177188.37,Active
TARGET_000037,FR0002,P001,2026-03-01,240198.05,Active
TARGET_000038,FR0002,P012,2026-03-01,201785.83,Inactive
TARGET_000039,FR0002,P007,2026-03-01,219801.2,Inactive
TARGET_000040,FR0002,P010,2026-03-01,70789.8,Active
TARGET_000041,FR0002,P001,2026-04-01,133963.17,Active
TARGET_000042,FR0002,P012,2026-04-01,244511.85,Active
TARGET_000043,FR0002,P007,2026-04-01,192330.49,Active
TARGET_000044,FR0002,P010,2026-04-01,58780.05,Active
TARGET_000045,FR0002,P001,2026-05-01,229457.49,Inactive
TARGET_000046,FR0002,P012,2026-05-01,190169.38,Inactive
TARGET_000047,FR0002,P007,2026-05-01,141691.61,Active
TARGET_000048,FR0002,P010,2026-05-01,166154.13,Active
TARGET_000049,FR0002,P001,2026-06-01,177443.14,Inactive
TARGET_000050,FR0002,P012,2026-06-01,64966.1,Active
TARGET_000051,FR0002,P007,2026-06-01,136996.58,Active
TARGET_000052,FR0002,P010,2026-06-01,97354.35,Inactive
TARGET_000053,FR0002,P001,2026-07-01,220182.74,Inactive
TARGET_000054,FR0002,P012,2026-07-01,190145.12,Inactive
TARGET_000055,FR0002,P007,2026-07-01,113611.54,Inactive
TARGET_000056,FR0002,P010,2026-07-01,96722.25,Active
TARGET_000057,FR0003,P005,2026-01-01,81082.11,Active
TARGET_000058,FR0003,P025,2026-01-01,139913.35,Inactive
TARGET_000059,FR0003,P019,2026-01-01,131302.51,Inactive
TARGET_000060,FR0003,P004,2026-01-01,242926.94,Active
TARGET_000061,FR0003,P005,2026-02-01,140383.42,Inactive
TARGET_000062,FR0003,P025,2026-02-01,103001.59,Active
TARGET_000063,FR0003,P019,2026-02-01,68084.18,Inactive
TARGET_000064,FR0003,P004,2026-02-01,215277.34,Active
TARGET_000065,FR0003,P005,2026-03-01,93004.16,Inactive
TARGET_000066,FR0003,P025,2026-03-01,79664.76,Active
TARGET_000067,FR0003,P019,2026-03-01,243680.0,Inactive
TARGET_000068,FR0003,P004,2026-03-01,152691.94,Inactive
TARGET_000069,FR0003,P005,2026-04-01,102033.36,Active
TARGET_000070,FR0003,P025,2026-04-01,56216.42,Inactive
TARGET_000071,FR0003,P019,2026-04-01,220920.26,Active
TARGET_000072,FR0003,P004,2026-04-01,68945.06,Active
TARGET_000073,FR0003,P005,2026-05-01,210779.35,Active
TARGET_000074,FR0003,P025,2026-05-01,74290.65,Active
TARGET_000075,FR0003,P019,2026-05-01,216074.47,Active
TARGET_000076,FR0003,P004,2026-05-01,76143.05,Inactive
TARGET_000077,FR0003,P005,2026-06-01,124447.95,Active
TARGET_000078,FR0003,P025,2026-06-01,166464.76,Inactive
TARGET_000079,FR0003,P019,2026-06-01,233485.72,Active
TARGET_000080,FR0003,P004,2026-06-01,54360.04,Active
TARGET_000081,FR0003,P005,2026-07-01,89550.07,Inactive
TARGET_000082,FR0003,P025,2026-07-01,211859.73,Active
TARGET_000083,FR0003,P019,2026-07-01,231015.59,Inactive
TARGET_000084,FR0003,P004,2026-07-01,74505.53,Inactive
TARGET_000085,FR0004,P002,2026-01-01,136631.28,Inactive
TARGET_000086,FR0004,P006,2026-01-01,149225.28,Inactive
TARGET_000087,FR0004,P030,2026-01-01,186642.58,Active
TARGET_000088,FR0004,P019,2026-01-01,120788.65,Active
TARGET_000089,FR0004,P002,2026-02-01,104996.35,Inactive
TARGET_000090,FR0004,P006,2026-02-01,226684.76,Active
TARGET_000091,FR0004,P030,2026-02-01,172821.32,Active
