area code,territory name,region,country,status
T049,Kishanganj Zone 49,North,India,Active
T038,Nadiad Zone 38,West,India,Active
T028,Ambattur Zone 28,North,India,Active
T022,Jorhat Zone 22,Central,India,Active
T032,Bharatpur Zone 32,East,India,Active
T019,Secunderabad Zone 19,North,India,Active
T037,Ujjain Zone 37,North,India,Active
T004,Bongaigaon Zone 4,South,India,Active
T048,Kolhapur Zone 48,West,India,Active
T010,Bongaigaon Zone 10,Central,India,Active
T041,Berhampur Zone 41,East,India,Active
T033,Uluberia Zone 33,South,India,Active
T030,Salem Zone 30,West,India,Active
