sale_id,representative_id,doctor_id,product_id,sale_date,sales_amount,quantity,selling_territory_id,status
1,FR0001,D000100,P015,2026-01-26,50477.51,33,T007,Valid
2,FR0001,D000142,P015,2026-01-10,50477.51,33,T007,Valid
3,FR0001,D000142,P015,2026-02-12,26931.17,18,T007,Valid
4,FR0001,D000100,P015,2026-02-17,26931.17,18,T007,Valid
5,FR0001,D000801,P015,2026-02-22,26931.17,18,T007,Valid
6,FR0001,D000883,P015,2026-02-09,26931.17,18,T007,Valid
7,FR0001,D000896,P015,2026-03-26,18918.63,12,T007,Valid
8,FR0001,D000176,P015,2026-03-05,18918.63,12,T007,Valid
9,FR0001,D000020,P015,2026-03-01,18918.63,12,T007,Valid
10,FR0001,D000883,P015,2026-03-27,18918.63,12,T007,Valid
11,FR0001,D000834,P015,2026-03-08,18918.63,12,T007,Valid
12,FR0001,D000240,P015,2026-04-01,51536.28,34,T007,Valid
13,FR0001,D000100,P015,2026-04-07,51536.28,34,T007,Valid
14,FR0001,D000100,P015,2026-05-06,24208.85,16,T007,Valid
15,FR0001,D000020,P015,2026-05-14,24208.85,16,T007,Valid
16,FR0001,D000176,P015,2026-05-24,24208.85,16,T007,Valid
17,FR0001,D000883,P015,2026-05-16,24208.85,16,T007,Valid
18,FR0001,D000240,P015,2026-06-05,34557.04,22,T007,Valid
19,FR0001,D000896,P015,2026-06-20,34557.04,22,T007,Valid
20,FR0001,D000176,P015,2026-06-20,34557.04,22,T007,Valid
21,FR0001,D000020,P015,2026-07-14,21065.72,14,T007,Valid
22,FR0001,D000100,P015,2026-07-21,21065.72,14,T007,Valid
23,FR0001,D000142,P015,2026-07-17,21065.72,14,T007,Valid
24,FR0001,D000176,P015,2026-07-21,21065.72,14,T007,Valid
25,FR0001,D000883,P015,2026-07-18,21065.72,14,T007,Valid
26,FR0001,D000896,P011,2026-01-06,10644.45,5,T007,Valid
27,FR0001,D000801,P011,2026-01-11,10644.45,5,T007,Valid
28,FR0001,D000176,P011,2026-01-08,10644.45,5,T007,Valid
29,FR0001,D000142,P011,2026-01-26,10644.45,5,T007,Valid
30,FR0001,D000176,P011,2026-02-22,11410.58,5,T007,Valid
31,FR0001,D000142,P011,2026-02-09,11410.58,5,T007,Valid
32,FR0001,D000020,P011,2026-02-27,11410.58,5,T007,Valid
33,FR0001,D000100,P011,2026-02-24,11410.58,5,T007,Valid
34,FR0001,D000801,P011,2026-03-11,9387.72,4,T007,Valid
35,FR0001,D000142,P011,2026-03-24,9387.72,4,T007,Valid
36,FR0001,D000100,P011,2026-03-12,9387.72,4,T007,Valid
37,FR0001,D000834,P011,2026-03-01,9387.72,4,T007,Valid
38,FR0001,D000240,P011,2026-03-23,9387.72,4,T007,Valid
39,FR0001,D000883,P011,2026-04-16,14453.19,7,T007,Valid
40,FR0001,D000240,P011,2026-04-03,14453.19,7,T007,Valid
41,FR0001,D000100,P011,2026-04-08,14453.19,7,T007,Valid
42,FR0001,D000176,P011,2026-05-02,7168.9,3,T007,Valid
43,FR0001,D000142,P011,2026-05-05,7168.9,3,T007,Valid
44,FR0001,D000883,P011,2026-05-23,7168.9,3,T007,Valid
45,FR0001,D000801,P011,2026-05-25,7168.9,3,T007,Valid
46,FR0001,D000100,P011,2026-05-17,7168.9,3,T007,Valid
47,FR0001,D000834,P011,2026-05-03,7168.9,3,T007,Valid
48,FR0001,D000240,P011,2026-06-24,11069.36,5,T007,Valid
49,FR0001,D000801,P011,2026-06-26,11069.36,5,T007,Valid
50,FR0001,D000100,P011,2026-06-16,11069.36,5,T007,Valid
51,FR0001,D000834,P011,2026-06-11,11069.36,5,T007,Valid
52,FR0001,D000801,P011,2026-07-10,7224.06,3,T007,Valid
53,FR0001,D000176,P011,2026-07-23,7224.06,3,T007,Valid
54,FR0001,D000896,P011,2026-07-05,7224.06,3,T007,Valid
55,FR0001,D000240,P011,2026-07-24,7224.06,3,T007,Valid
56,FR0001,D000100,P011,2026-07-23,7224.06,3,T007,Valid
57,FR0001,D000883,P011,2026-07-13,7224.06,3,T007,Valid
58,FR0001,D000100,P014,2026-01-11,57271.28,41,T007,Valid
59,FR0001,D000883,P014,2026-01-03,57271.28,41,T007,Valid
60,FR0001,D000896,P014,2026-01-12,57271.28,41,T007,Valid
61,FR0001,D000883,P014,2026-02-08,42647.35,31,T007,Valid
62,FR0001,D000020,P014,2026-02-03,42647.35,31,T007,Valid
63,FR0001,D000142,P014,2026-02-09,42647.35,31,T007,Valid
64,FR0001,D000100,P014,2026-02-04,42647.35,31,T007,Valid
65,FR0001,D000834,P014,2026-03-26,30694.02,22,T007,Valid
66,FR0001,D000801,P014,2026-03-22,30694.02,22,T007,Valid
67,FR0001,D000240,P014,2026-03-26,30694.02,22,T006,Valid
68,FR0001,D000176,P014,2026-03-09,30694.02,22,T020,Valid
69,FR0001,D000020,P014,2026-03-13,30694.02,22,T016,Valid
70,FR0001,D000801,P014,2026-04-23,79496.54,57,T007,Valid
71,FR0001,D000883,P014,2026-04-14,79496.54,57,T007,Valid
72,FR0001,D000801,P014,2026-05-07,85370.68,61,T007,Valid
73,FR0001,D000176,P014,2026-05-23,85370.68,61,T007,Valid
74,FR0001,D000240,P014,2026-06-13,41316.0,30,T007,Valid
75,FR0001,D000176,P014,2026-06-18,41316.0,30,T007,Valid
76,FR0001,D000020,P014,2026-06-16,41316.0,30,T007,Valid
