sale_id,representative_id,doctor_id,product_id,sale_date,sales_amount,quantity,selling_territory_id,status
1,FR0001,D000100,P015,2026-01-26,50477.51,33,T007,Valid
2,FR0001,D000142,P015,2026-01-10,50477.51,33,T007,Valid
26,FR0001,D000896,P011,2026-01-06,10644.45,5,T007,Valid
27,FR0001,D000801,P011,2026-01-11,10644.45,5,T007,Valid
28,FR0001,D000176,P011,2026-01-08,10644.45,5,T007,Valid
29,FR0001,D000142,P011,2026-01-26,10644.45,5,T007,Valid
58,FR0001,D000100,P014,2026-01-11,57271.28,41,T007,Valid
59,FR0001,D000883,P014,2026-01-03,57271.28,41,T007,Valid
60,FR0001,D000896,P014,2026-01-12,57271.28,41,T007,Valid
81,FR0001,D000176,P004,2026-01-05,19224.97,11,T007,Valid
82,FR0001,D000240,P004,2026-01-23,19224.97,11,T007,Valid
83,FR0001,D000883,P004,2026-01-04,19224.97,11,T007,Valid
84,FR0001,D000020,P004,2026-01-22,19224.97,11,T007,Valid
102,FR0002,D000021,P009,2026-01-02,20050.1,8,T018,Valid
103,FR0002,D000894,P009,2026-01-16,20050.1,8,T018,Valid
104,FR0002,D000366,P009,2026-01-12,20050.1,8,T018,Valid
105,FR0002,D000980,P009,2026-01-11,20050.1,8,T018,Valid
106,FR0002,D000995,P009,2026-01-26,20050.1,8,T018,Valid
128,FR0002,D000980,P013,2026-01-13,10598.06,23,T018,Valid
129,FR0002,D000366,P013,2026-01-15,10598.06,23,T018,Valid
130,FR0002,D000995,P013,2026-01-07,10598.06,23,T018,Valid
131,FR0002,D000247,P013,2026-01-10,10598.06,23,T018,Valid
155,FR0002,D000247,P021,2026-01-14,17960.73,9,T018,Valid
156,FR0002,D000995,P021,2026-01-15,17960.73,9,T018,Valid
157,FR0002,D000366,P021,2026-01-11,17960.73,9,T018,Valid
176,FR0002,D000980,P016,2026-01-22,56451.15,385,T018,Valid
177,FR0002,D000021,P016,2026-01-21,56451.15,385,T018,Valid
193,FR0002,D000366,P019,2026-01-06,31343.15,14,T018,Valid
194,FR0002,D000995,P019,2026-01-13,31343.15,14,T018,Valid
216,FR0002,D000980,P020,2026-01-27,6911.48,23,T018,Valid
217,FR0002,D000247,P020,2026-01-15,6911.48,23,T018,Valid
218,FR0002,D000894,P020,2026-01-18,6911.48,23,T018,Valid
219,FR0002,D000995,P020,2026-01-20,6911.48,23,T018,Valid
220,FR0002,D000366,P020,2026-01-16,6911.48,23,T018,Valid
221,FR0002,D000021,P020,2026-01-22,6911.48,23,T018,Valid
247,FR0003,D000330,P025,2026-01-13,16141.35,7,T014,Valid
248,FR0003,D000537,P025,2026-01-02,16141.35,7,T014,Valid
249,FR0003,D000014,P025,2026-01-02,16141.35,7,T014,Valid
250,FR0003,D000641,P025,2026-01-09,16141.35,7,T014,Valid
251,FR0003,D000050,P025,2026-01-26,16141.35,7,T014,Valid
252,FR0003,D000700,P025,2026-01-10,16141.35,7,T014,Valid
274,FR0003,D000327,P012,2026-01-18,23117.76,11,T014,Valid
275,FR0003,D000674,P012,2026-01-25,23117.76,11,T014,Valid
276,FR0003,D000641,P012,2026-01-01,23117.76,11,T014,Valid
277,FR0003,D000585,P012,2026-01-22,23117.76,11,T014,Valid
303,FR0003,D000330,P018,2026-01-18,18489.53,27,T014,Valid
304,FR0003,D000700,P018,2026-01-05,18489.53,27,T014,Valid
305,FR0003,D000246,P018,2026-01-02,18489.53,27,T014,Valid
306,FR0003,D000818,P018,2026-01-19,18489.53,27,T014,Valid
307,FR0003,D000338,P018,2026-01-13,18489.53,27,T014,Valid
308,FR0003,D000014,P018,2026-01-18,18489.53,27,T014,Valid
332,FR0004,D000251,P019,2026-01-17,14880.0,7,T008,Valid
333,FR0004,D000898,P019,2026-01-03,14880.0,7,T008,Valid
334,FR0004,D000477,P019,2026-01-12,14880.0,7,T008,Valid
335,FR0004,D000170,P019,2026-01-01,14880.0,7,T008,Valid
336,FR0004,D000917,P019,2026-01-08,14880.0,7,T008,Valid
357,FR0004,D000694,P013,2026-01-07,15846.74,34,T008,Valid
358,FR0004,D000898,P013,2026-01-20,15846.74,34,T008,Valid
359,FR0004,D000170,P013,2026-01-16,15846.74,34,T008,Valid
360,FR0004,D000477,P013,2026-01-08,15846.74,34,T008,Valid
361,FR0004,D000251,P013,2026-01-14,15846.74,34,T008,Valid
362,FR0004,D000917,P013,2026-01-05,15846.74,34,T008,Valid
394,FR0004,D000170,P025,2026-01-16,62025.4,26,T008,Valid
395,FR0004,D000251,P025,2026-01-14,62025.4,26,T008,Valid
416,FR0004,D000917,P030,2026-01-08,67294.41,265,T008,Valid
417,FR0004,D000477,P030,2026-01-03,67294.41,265,T008,Valid
439,FR0004,D000694,P007,2026-01-22,24511.47,51,T008,Valid
440,FR0004,D000251,P007,2026-01-27,24511.47,51,T008,Valid
441,FR0004,D000898,P007,2026-01-24,24511.47,51,T008,Valid
442,FR0004,D000477,P007,2026-01-26,24511.47,51,T008,Valid
465,FR0004,D000170,P002,2026-01-08,92921.7,68,T008,Valid
466,FR0004,D000694,P002,2026-01-24,92921.7,68,T008,Valid
467,FR0004,D000477,P002,2026-01-15,92921.7,68,T008,Valid
493,FR0004,D000917,P018,2026-01-03,50595.71,75,T008,Valid
512,FR0005,D000730,P023,2026-01-12,11829.64,5,T015,Valid
513,FR0005,D000231,P023,2026-01-05,11829.64,5,T015,Valid
